dataset_version,state,state_name,revenue_threshold,transaction_threshold,evaluation_rule,comparison_operator,approaching_percent,threshold_currency,revenue_basis,lookback_period,source_type,source_title,source_url,effective_date,observed_on,verification_status,notes
reference-seed-2026-08-26-v1,OK,Oklahoma,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,OR,Oregon,,,NONE,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; no threshold supplied by the reference.
reference-seed-2026-08-26-v1,PA,Pennsylvania,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,RI,Rhode Island,100000,200,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,SC,South Carolina,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,SD,South Dakota,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,TN,Tennessee,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,TX,Texas,500000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,UT,Utah,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,VT,Vermont,100000,200,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,VA,Virginia,100000,200,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,WA,Washington,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,WV,West Virginia,100000,200,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,WI,Wisconsin,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,WY,Wyoming,100000,,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the state authority before use.
reference-seed-2026-08-26-v1,DC,District of Columbia,100000,200,OR,greater_than,80,USD,unspecified_by_reference,unspecified_by_reference,third_party_functional_reference,Sales Tax Reports for WooCommerce 2.0.1 nexus_feature_data.csv,https://wootaxreports.com/,,2026-08-26,unverified_seed,Functional seed only; verify with the district authority before use.
